"path","line","component","current_layer","current_visibility","decision","future_scope","target","reason","priority"
"src/app/(authenticated)/AuthenticatedLayout.tsx","15","AuthenticatedLayoutContent","route-local","internal","KEEP","route-local","AuthenticatedLayoutContent","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/AuthenticatedLayout.tsx","186","AuthenticatedLayout","route-local","exported","KEEP","route-local","AuthenticatedLayout","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/cashing-up/daily/_components/DailyClient.tsx","137","DailyClient","route-local","exported","KEEP","route-local","DailyClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/cashing-up/daily/page.tsx","10","DailyCashupPage","route-entry","exported","KEEP","route-boundary","DailyCashupPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/cashing-up/dashboard/_components/DashboardClient.tsx","93","DashboardClient","route-local","exported","KEEP","route-local","DashboardClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/cashing-up/dashboard/page.tsx","10","CashupDashboardPage","route-entry","exported","KEEP","route-boundary","CashupDashboardPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/cashing-up/import/_components/ImportClient.tsx","36","ImportClient","route-local","exported","KEEP","route-local","ImportClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/cashing-up/import/page.tsx","3","ImportPage","route-entry","exported","KEEP","route-boundary","ImportPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/cashing-up/insights/_components/InsightsClient.tsx","66","SalesMixTooltip","route-local","internal","KEEP","route-local","SalesMixTooltip","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/cashing-up/insights/_components/InsightsClient.tsx","108","SalesMixTrendChart","route-local","internal","KEEP","route-local","SalesMixTrendChart","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/cashing-up/insights/_components/InsightsClient.tsx","169","InsightsClient","route-local","exported","KEEP","route-local","InsightsClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/cashing-up/insights/page.tsx","13","CashupInsightsPage","route-entry","exported","KEEP","route-boundary","CashupInsightsPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/cashing-up/layout.tsx","13","CashingUpLayout","route-entry","exported","KEEP","route-boundary","CashingUpLayout","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/cashing-up/weekly/_components/WeeklyClient.tsx","46","WeeklyClient","route-local","exported","KEEP","route-local","WeeklyClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/cashing-up/weekly/page.tsx","6","WeeklyCashupPage","route-entry","exported","KEEP","route-boundary","WeeklyCashupPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/customers/_components/CustomersClient.tsx","56","PlusIcon","route-local","internal","MERGE","removed","Icon","Page-local copy of a repeated visual or interaction pattern.","P1"
"src/app/(authenticated)/customers/_components/CustomersClient.tsx","59","PencilIcon","route-local","internal","MERGE","removed","Icon","Page-local copy of a repeated visual or interaction pattern.","P1"
"src/app/(authenticated)/customers/_components/CustomersClient.tsx","62","TrashIcon","route-local","internal","MERGE","removed","Icon","Page-local copy of a repeated visual or interaction pattern.","P1"
"src/app/(authenticated)/customers/_components/CustomersClient.tsx","65","MessageIcon","route-local","internal","MERGE","removed","Icon","Page-local copy of a repeated visual or interaction pattern.","P1"
"src/app/(authenticated)/customers/_components/CustomersClient.tsx","87","CustomersClient","route-local","exported","KEEP","route-local","CustomersClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/customers/[id]/page.tsx","247","CustomerViewPage","route-entry","exported","KEEP","route-boundary","CustomerViewPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/customers/insights/page.tsx","77","CustomersInsightsPage","route-entry","exported","KEEP","route-boundary","CustomersInsightsPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/customers/loading.tsx","3","Loading","route-entry","exported","KEEP","route-boundary","route wrapper using PageLoading","Next.js requires the route file; keep the boundary but share the loading presentation.","P1"
"src/app/(authenticated)/customers/page.tsx","17","CustomersPage","route-entry","exported","KEEP","route-boundary","CustomersPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/dashboard/_components/DashboardClient.tsx","97","DashboardClient","route-local","exported","KEEP","route-local","DashboardClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/dashboard/loading.tsx","3","Loading","route-entry","exported","KEEP","route-boundary","route wrapper using PageLoading","Next.js requires the route file; keep the boundary but share the loading presentation.","P1"
"src/app/(authenticated)/dashboard/page.tsx","61","DashboardPage","route-entry","exported","KEEP","route-boundary","DashboardPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/dashboard/UpcomingScheduleCalendar.tsx","18","UpcomingScheduleCalendar","route-local","exported","KEEP","route-local","UpcomingScheduleCalendar","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/employees/_components/EmployeesClient.tsx","62","PortalInviteButton","route-local","internal","KEEP","route-local","PortalInviteButton","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/employees/_components/EmployeesClient.tsx","84","EmployeesClient","route-local","exported","KEEP","route-local","EmployeesClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/employees/[employee_id]/_components/EmployeeDetailTabs.tsx","21","EmployeeDetailTabs","route-local","exported","KEEP","route-local","EmployeeDetailTabs","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/employees/[employee_id]/_components/EmployeeHeaderActions.tsx","17","EmployeeHeaderActions","route-local","exported","KEEP","route-local","EmployeeHeaderActions","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/employees/[employee_id]/_components/QuickAddNoteSheet.tsx","20","QuickAddNoteSheet","route-local","exported","KEEP","route-local","QuickAddNoteSheet","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/employees/[employee_id]/edit/EmployeeEditClient.tsx","24","EmployeeEditClient","route-local","exported","KEEP","route-local","EmployeeEditClient","Page-specific behaviour; keep local and compose it only from canonical shared controls.","P3"
"src/app/(authenticated)/employees/[employee_id]/edit/page.tsx","13","EditEmployeePage","route-entry","exported","KEEP","route-boundary","EditEmployeePage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/employees/[employee_id]/page.tsx","56","EmployeeDetailPage","route-entry","exported","KEEP","route-boundary","EmployeeDetailPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/employees/birthdays/page.tsx","36","EmployeeBirthdaysPage","route-entry","exported","KEEP","route-boundary","EmployeeBirthdaysPage","Next.js route boundary, not a reusable UI choice.","P3"
"src/app/(authenticated)/employees/loading.tsx","3","Loading","route-entry","exported","KEEP","route-boundary","route wrapper using PageLoading","Next.js requires the route file; keep the boundary but share the loading presentation.","P1"
