priority,surface,type,status,claim_state,public_url,confirmed_public_data,confirmed_issue,fix_route,checked,confidence
Keep,Google Maps,Search and maps,Accurate,Claimed,https://www.google.com/maps?cid=17928230944823812473,"Correct name, address, phone, website, booking link, menu link, bar hours and lunch hours","No material listing fault found; review summary contains historic dish mentions which are not owner fields",Google Business Profile,2026-09-04,High
P1,Apple Maps,Maps,Correction in review,Claimed and verified,https://maps.apple.com/place?place-id=IEC4A24F6FAF2DB8A,"Correct name, address, phone, website and category; four current gallery photos published","Old public hours were stale; correct hours, neutral description, Reserve and Menu actions, official logo and garden cover were submitted for review",Apple Business Connect,2026-09-05,High
P1,Bing Maps,Search and maps,Stale,Claimed; verification in progress,https://www.bing.com/maps?q=The%20Anchor%20Stanwell%20Moor%20TW19%206AQ,"Correct name, phone, website and primary pub category","Stanwell Moor is omitted; public email is blank; Monday to Friday shown as 16:00 to 22:00 instead of Monday only; edits and every PIN request method are currently disabled",Bing Places for Business and support,2026-09-05,High
P2,Waze,Navigation,Unverified,Unknown,https://www.waze.com/ul?q=The+Anchor+Stanwell+Moor+TW19+6AQ,"First-party site uses a generic Waze text search URL","Dedicated place record and attributes not confirmed; web live-map check did not resolve due to interface limits",Waze app or Waze Map Editor,2026-09-04,Medium
P2,HERE WeGo,Navigation,Partly verified,Unknown,https://wego.here.com/,"Search result found as The Anchor, Horton Road, Staines, TW19 6AQ","Website, phone, category, hours and exact pin not confirmed publicly",HERE Map Creator,2026-09-04,Medium
P2,TomTom,Navigation,Unverified,Unknown,https://www.tomtom.com/mapshare/tools/,"Bing's map locates the venue and credits TomTom and OpenStreetMap","TomTom point-of-interest record requires a login to inspect",TomTom MapShare Reporter,2026-09-04,Medium
P2,OpenStreetMap,Open map data,Incomplete,Community edited,https://www.openstreetmap.org/node/3598403423,"Correct postcode, street, phone, pub type and near-correct pin","Name is The Anchor Pub; addr:city is Spelthorne; website, email and opening_hours are missing",OpenStreetMap editor,2026-09-04,High
P2,Mapcarta,Map directory,Incomplete,Derived,https://mapcarta.com/N3598403423,"Correct phone, postcode and pub type","Repeats incomplete OpenStreetMap name and locality; no website or hours",Correct OpenStreetMap then monitor,2026-09-04,High
P1,TripAdvisor,Reviews and dining,Pending moderation,Claimed and managed,https://www.tripadvisor.co.uk/Restaurant_Review-g477981-d9717898-Reviews-The_Anchor-Staines_Surrey_England.html,"Correct contact details; canonical hours, address, tenant description and cuisines entered in Management Centre","Changes submitted and processing; false Buffet removed; both stale 2025 rich menus unpublished; live menu link submitted",TripAdvisor Management Centre,2026-09-05,High
P1,Yelp,Reviews and local,Corrected,Claimed and managed,https://www.yelp.com/biz/the-anchor-staines-upon-thames,"Correct NAP, website, canonical bar hours, factual Greene King tenant description with NGCI caveat, accepts cash Yes and accepts cryptocurrency No","Former Tuesday to Thursday 16:00 opening and Saturday midnight close are corrected; the earlier cryptocurrency warning was a baseline misread because the field was already No",Yelp for Business and signed-out public page,2026-09-05,High
